date;prices;returns
18/07/2010;0.09;
19/07/2010;0.08;-0.117783036
20/07/2010;0.07;-0.133531393
21/07/2010;0.08;0.133531393
22/07/2010;0.05;-0.470003629
23/07/2010;0.06;0.182321557
24/07/2010;0.05;-0.182321557
25/07/2010;0.05;0
26/07/2010;0.06;0.182321557
27/07/2010;0.06;0
28/07/2010;0.06;0
29/07/2010;0.07;0.15415068
30/07/2010;0.06;-0.15415068
31/07/2010;0.07;0.15415068
01/08/2010;0.06;-0.15415068
02/08/2010;0.06;0
03/08/2010;0.06;0
04/08/2010;0.06;0
05/08/2010;0.06;0
06/08/2010;0.06;0
07/08/2010;0.06;0
08/08/2010;0.06;0
09/08/2010;0.07;0.15415068
10/08/2010;0.07;0
11/08/2010;0.07;0
12/08/2010;0.07;0
13/08/2010;0.06;-0.15415068
14/08/2010;0.07;0.15415068
15/08/2010;0.07;0
16/08/2010;0.07;0
17/08/2010;0.07;0
18/08/2010;0.07;0
19/08/2010;0.07;0
20/08/2010;0.07;0
21/08/2010;0.07;0
22/08/2010;0.07;0
23/08/2010;0.06;-0.15415068
24/08/2010;0.06;0
25/08/2010;0.06;0
26/08/2010;0.06;0
27/08/2010;0.06;0
28/08/2010;0.06;0
29/08/2010;0.06;0
30/08/2010;0.06;0
31/08/2010;0.06;0
01/09/2010;0.06;0
02/09/2010;0.06;0
03/09/2010;0.06;0
04/09/2010;0.06;0
05/09/2010;0.06;0
06/09/2010;0.06;0
07/09/2010;0.06;0
08/09/2010;0.06;0
09/09/2010;0.06;0
10/09/2010;0.06;0
11/09/2010;0.06;0
12/09/2010;0.06;0
13/09/2010;0.06;0
14/09/2010;0.06;0
15/09/2010;0.06;0
16/09/2010;0.06;0
17/09/2010;0.06;0
18/09/2010;0.06;0
19/09/2010;0.06;0
20/09/2010;0.06;0
21/09/2010;0.06;0
22/09/2010;0.06;0
23/09/2010;0.06;0
24/09/2010;0.06;0
25/09/2010;0.06;0
26/09/2010;0.06;0
27/09/2010;0.06;0
28/09/2010;0.06;0
29/09/2010;0.06;0
30/09/2010;0.06;0
01/10/2010;0.06;0
02/10/2010;0.06;0
03/10/2010;0.06;0
04/10/2010;0.06;0
05/10/2010;0.06;0
06/10/2010;0.06;0
07/10/2010;0.07;0.15415068
08/10/2010;0.09;0.251314428
09/10/2010;0.09;0
10/10/2010;0.1;0.105360516
11/10/2010;0.09;-0.105360516
12/10/2010;0.09;0
13/10/2010;0.1;0.105360516
14/10/2010;0.1;0
15/10/2010;0.1;0
16/10/2010;0.1;0
17/10/2010;0.1;0
18/10/2010;0.1;0
19/10/2010;0.1;0
20/10/2010;0.1;0
21/10/2010;0.11;0.09531018
22/10/2010;0.1;-0.09531018
23/10/2010;0.11;0.09531018
24/10/2010;0.11;0
25/10/2010;0.13;0.167054085
26/10/2010;0.15;0.143100844
27/10/2010;0.19;0.236388778
28/10/2010;0.17;-0.111225635
29/10/2010;0.19;0.111225635
30/10/2010;0.2;0.051293294
31/10/2010;0.19;-0.051293294
01/11/2010;0.2;0.051293294
02/11/2010;0.19;-0.051293294
03/11/2010;0.19;0
04/11/2010;0.23;0.191055237
05/11/2010;0.26;0.122602322
06/11/2010;0.39;0.405465108
07/11/2010;0.34;-0.137201122
08/11/2010;0.24;-0.348306694
09/11/2010;0.21;-0.133531393
10/11/2010;0.24;0.133531393
11/11/2010;0.22;-0.087011377
12/11/2010;0.27;0.204794413
13/11/2010;0.28;0.036367644
14/11/2010;0.28;0
15/11/2010;0.27;-0.036367644
16/11/2010;0.22;-0.204794413
17/11/2010;0.23;0.044451763
18/11/2010;0.27;0.16034265
19/11/2010;0.28;0.036367644
20/11/2010;0.28;0
21/11/2010;0.28;0
22/11/2010;0.29;0.03509132
23/11/2010;0.28;-0.03509132
24/11/2010;0.28;0
25/11/2010;0.28;0
26/11/2010;0.28;0
27/11/2010;0.28;0
28/11/2010;0.27;-0.036367644
29/11/2010;0.23;-0.16034265
30/11/2010;0.21;-0.090971778
01/12/2010;0.23;0.090971778
02/12/2010;0.25;0.083381609
03/12/2010;0.25;0
04/12/2010;0.2;-0.223143551
05/12/2010;0.19;-0.051293294
06/12/2010;0.2;0.051293294
07/12/2010;0.23;0.139761942
08/12/2010;0.24;0.042559614
09/12/2010;0.2;-0.182321557
10/12/2010;0.2;0
11/12/2010;0.23;0.139761942
12/12/2010;0.22;-0.044451763
13/12/2010;0.23;0.044451763
14/12/2010;0.25;0.083381609
15/12/2010;0.24;-0.040821995
16/12/2010;0.25;0.040821995
17/12/2010;0.24;-0.040821995
18/12/2010;0.24;0
19/12/2010;0.24;0
20/12/2010;0.27;0.117783036
21/12/2010;0.24;-0.117783036
22/12/2010;0.25;0.040821995
23/12/2010;0.25;0
24/12/2010;0.25;0
25/12/2010;0.25;0
26/12/2010;0.26;0.039220713
27/12/2010;0.26;0
28/12/2010;0.28;0.074107972
29/12/2010;0.3;0.068992871
30/12/2010;0.3;0
31/12/2010;0.3;0
01/01/2011;0.3;0
02/01/2011;0.3;0
03/01/2011;0.29;-0.033901552
04/01/2011;0.3;0.033901552
05/01/2011;0.3;0
06/01/2011;0.3;0
07/01/2011;0.32;0.064538521
08/01/2011;0.32;0
09/01/2011;0.32;0
10/01/2011;0.33;0.030771659
11/01/2011;0.33;0
12/01/2011;0.32;-0.030771659
13/01/2011;0.32;0
14/01/2011;0.4;0.223143551
15/01/2011;0.39;-0.025317808
16/01/2011;0.39;0
17/01/2011;0.35;-0.108213585
18/01/2011;0.31;-0.121360857
19/01/2011;0.31;0
20/01/2011;0.39;0.229574442
21/01/2011;0.42;0.074107972
22/01/2011;0.44;0.046520016
23/01/2011;0.44;0
24/01/2011;0.42;-0.046520016
25/01/2011;0.41;-0.024097552
26/01/2011;0.42;0.024097552
27/01/2011;0.42;0
28/01/2011;0.45;0.068992871
29/01/2011;0.44;-0.022472856
30/01/2011;0.48;0.087011377
31/01/2011;0.52;0.080042708
01/02/2011;0.7;0.297251523
02/02/2011;0.72;0.028170877
03/02/2011;0.69;-0.042559614
04/02/2011;0.81;0.16034265
05/02/2011;0.92;0.127339422
06/02/2011;0.9;-0.021978907
07/02/2011;0.89;-0.011173301
08/02/2011;0.92;0.033152207
09/02/2011;1.09;0.169559305
10/02/2011;0.98;-0.106380404
11/02/2011;1.07;0.087861356
12/02/2011;1.08;0.009302393
13/02/2011;1.05;-0.028170877
14/02/2011;1.07;0.018868484
15/02/2011;1.05;-0.018868484
16/02/2011;1.04;-0.009569451
17/02/2011;1.04;0
18/02/2011;0.9;-0.144581229
19/02/2011;0.95;0.054067221
20/02/2011;0.85;-0.111225635
21/02/2011;0.83;-0.023810649
22/02/2011;0.87;0.047067511
23/02/2011;0.9;0.033901552
24/02/2011;1;0.105360516
25/02/2011;0.91;-0.094310679
26/02/2011;0.96;0.053488685
27/02/2011;0.89;-0.075711822
28/02/2011;0.86;-0.034289073
01/03/2011;0.92;0.067441281
02/03/2011;0.94;0.021506205
03/03/2011;0.94;0
04/03/2011;0.9;-0.043485112
05/03/2011;0.91;0.011049836
06/03/2011;0.9;-0.011049836
07/03/2011;0.88;-0.022472856
08/03/2011;0.87;-0.011428696
